product_name,brand,price,currency,breadcrumbs,pdp_url,variants,image_url,description
Graphic Cross-Front Tee,Adjmi,13.50,USD,Home/All Products/Graphic Cross-Front Tee,https://www.shopjustice.com/collections/all-products/products/crossfront-tee-mind-vibes-309029-cozy-pink,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Cozy Pink""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/309029_cozy-pink_1_grande.jpg?v=1625102942,"We created this line of tees for your free-spirited girl. The front has a bold, glittering graphic boasting an affirming message. The top has a crew neckline.A reverse surplice hemline brings an on-trend update to the classic design. The soft cotton-blend fabric promises daylong comfort. And they easily pair with Justice Denim jeans.#30902960% cotton and 40% polyesterMachine wash, tumble dryImported"
Disney® Graphic Scoop-Neck Tee,Adjmi,18.00,USD,Home/All Products/Disney® Graphic Scoop-Neck Tee,https://www.shopjustice.com/collections/all-products/products/branded-disney-tee-mickey-minnie-daisy-005605-bleach-white,"{""size"":[""5/6"",""7/8"",""10"",""12/14"",""16/18"",""16/18PL""],""color"":""Bleach White""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/005605_bleach-white_1_grande.jpg?v=1614912496,"The Justice X Disney® collab has looks with timeless graphics and on-trend designs your girl will love. Our girls’ short-sleeve tees sport a classic scoop neckline. A graphic on the front reps her Disney® faves. Soft cotton-blend fabric and a relaxed-cut promise breezy comfort. Effortlessly pair them with matching shorts or leggings from our Disney® collection.#560560% cotton and 40% polyesterMachine wash, tumble dryImported"
Disney® Tie-Dye Crewneck Tee,Adjmi,18.00,USD,Home/All Products/Disney® Tie-Dye Crewneck Tee,https://www.shopjustice.com/collections/all-products/products/disney-tie-dye-tee-003871-purpline,"{""size"":[""5/6"",""7/8"",""10"",""12/14"",""16/18"",""16/18PL""],""color"":""Purpline""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/003871_purpline_1_grande.jpg?v=1614968004,"The Justice X Disney® collab has looks with timeless graphics and on-trend designs your girl will love. Our girls’ short-sleeve tees sport a classic crew neckline. The allover tie-dye pattern lends playful texture. A graphic on the front reps her Disney® faves. Soft cotton-blend fabric promises day-long comfort. Effortlessly pair them with matching shorts or leggings from our Disney® collection.#387160% cotton and 40% polyesterMachine wash, tumble dryImported"
Disney® Minnie & Mickey Graphic Crop Hoodie,Adjmi,27.00,USD,Home/All Products/Disney® Minnie & Mickey Graphic Crop Hoodie,https://www.shopjustice.com/collections/all-products/products/disney-hooded-crop-ls-mickey-and-minnie-006510-blue,"{""size"":[""5/6"",""7/8"",""10"",""12/14"",""16/18"",""16/18PL""],""color"":""Blue""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/006510_blue_1_grande.jpg?v=1614912541,"The Justice X Disney® collab has looks with timeless graphics and on-trend designs your girl will love. Our solid-hued girls’ sweatshirts sport a classic hood with banded cuffs and long sleeves. The crop design updates the style. The pullover design promises easy layering. The rolled hemline offers visual interest. A graphic on the front reps her Disney® faves. And the soft cotton-blend fabric promises day-long comfort. Effortlessly pair them with matching tees and leggings from our Disney® collection.#651060% cotton and 40% polyesterMachine wash, tumble dryImported"
Collection X by Justice Graphic Layered Tank,Adjmi,19.50,USD,Home/All Products/Collection X by Justice Graphic Layered Tank,https://www.shopjustice.com/collections/all-products/products/col-x-two-fer-tank-304112-bleach-white,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Bleach White""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/304112_bleach-white_1_grande.jpg?v=1625102895,"We elevated our girls’ tanks with all the extra-special designs and details Collection X by Justice is known for. The soft, durable fabric promises wear after wear. A layered design brings on-trend edge. Bias binding finishes the neckline and armholes. A bold graphic highlights the front. And the vibrant hues are a perfect match for leggings and other pieces in this capsule collection.#304112Body: 96% rayon and 4% spandexSelf: 90% polyester and 10% spandexMachine wash, tumble dryImported"
Disney® Mickey Graphic Crewneck Sweatshirt,Adjmi,24.00,USD,Home/All Products/Disney® Mickey Graphic Crewneck Sweatshirt,https://www.shopjustice.com/collections/all-products/products/disney-crewneck-sweatshirt-mickey-004101-graphite-heather,"{""size"":[""5/6"",""7/8"",""10"",""12/14"",""16/18"",""16/18PL""],""color"":""Graphite Heather""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/004101_graphite-heather_1_grande.jpg?v=1614971650,"The Justice X Disney® collab has looks with timeless graphics and on-trend designs your girl will love. Our girls’ sweatshirts sport a classic crew neckline and long sleeves with a banded hemline and cuffs. The pullover design promises easy layering. A graphic on the front reps her Disney® faves. And the soft cotton-blend fabric promises day-long comfort. Effortlessly pair them with matching tees and leggings from our Disney® collection.#410152% cotton and 48% polyesterMachine wash, tumble dryImported"
Graphic Sherpa Shorts Pajama Set,KOMAR,21.75,USD,Home/All Products/Graphic Sherpa Shorts Pajama Set,https://www.shopjustice.com/collections/all-products/products/2pc-short-set-jersey-top-with-sherpa-short-j168189-aqua,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)""],""color"":""Aqua""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/168189_aqua_1_grande.jpg?v=1625268630,"We designed our girls’ pajama sets with super-soft fabrics that promise a cozy feel. The top has a crew neckline. A standout graphic with sentimental messaging highlights the front. Short sleeves and shorts make them perfect for warmer nights. The bottoms are made of faux sherpa—which takes comfort to the next level. They have a pull-on waistband that’s super stretchy—for on-and-off convenience. Plus, a sweet bow punctuates the center.#168189Includes: top and bottom100% polyesterMachine wash, tumble dryImported"
Graphic Sherpa Shorts Pajama Set,KOMAR,21.75,USD,Home/All Products/Graphic Sherpa Shorts Pajama Set,https://www.shopjustice.com/collections/all-products/products/2pc-short-set-jersey-top-with-sherpa-short-j168189-peach,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)""],""color"":""Peach""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/168189_peach_1_grande.jpg?v=1625268652,"We designed our girls’ pajama sets with super-soft fabrics that promise a cozy feel. The top has a crew neckline. A standout graphic with sentimental messaging highlights the front. Short sleeves and shorts make them perfect for warmer nights. The bottoms are made of faux sherpa—which takes comfort to the next level. They have a pull-on waistband that’s super stretchy—for on-and-off convenience. Plus, a sweet bow punctuates the center.#168189Includes: top and bottom100% polyesterMachine wash, tumble dryImported"
Graphic & Plaid Pajama Set,KOMAR,21.75,USD,Home/All Products/Graphic & Plaid Pajama Set,https://www.shopjustice.com/collections/all-products/products/3pc-set-ss-top-plaid-pant-eyemask-j162362-aqua,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)""],""color"":""Aqua""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/162362_aqua_1_grande.jpg?v=1625267482,"We designed our girls’ pajama sets with super-soft fabric that promises a cozy feel. The top has a crew neckline. Short sleeves make it versatile for cool and warm nights. A standout graphic with sentimental messaging highlights the front. The pants have a pull-on waistband that’s super stretchy—for on-and-off convenience. Plus, a cool patch punctuates the center of both the waistband and one arm of the top. The plaid pattern, updated with bright hues, gives them classic style. And a matching eye mask keeps the light at bay for mornings when she wants to sleep in.#162362Includes: top, bottom and eye mask100% polyesterMachine wash, tumble dryImported"
Graphic & Patterned Pajama Set,KOMAR,27.00,USD,Home/All Products/Graphic & Patterned Pajama Set,https://www.shopjustice.com/collections/all-products/products/3pc-set-top-pant-eyemask-j164325-teal,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)""],""color"":""Teal""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/164325_teal-print_1_grande.jpg?v=1625267871,"We designed our girls’ pajama sets with super-soft fabric that promises a cozy feel. The top has a crew neckline. Short sleeves make it versatile for cool and warm nights. A standout graphic with sentimental messaging highlights the front. The pants have a pull-on waistband that’s super stretchy—for on-and-off convenience. Plus, a sweet satin bow punctuates the center. The buffalo check pattern, updated by a bright hue, gives them classic style. And a matching eye mask keeps the light at bay for mornings when she wants to sleep in.#164325Includes: top, bottom and eye mask100% polyesterMachine wash, tumble dryImported"
